old,new
"SUNSPOT/ROBERTO DACO","Sunspot"
"THUNDERSTRIKE/ERIC K","Thunderstrike"
"GHOST RIDER III/DAN","Ghost Rider II"
"ODIN [ASGARDIAN]","Odin"
"BOX IV/MADISON JEFFR","Box"
"TIGRA/GREER NELSON","Tigra"
"COLOSSUS II/PETER RA","Colossus"
"MAN-THING/THEODORE T","Thing"
"SILVERCLAW/LA GARRA","Silverclaw"
"BLACKOUT/MARCUS DANI","Blackout"
"BLAQUESMITH","Blaquesmith"
"DARKHAWK/CHRIS POWEL","Darkhawk"
"MAGOG II","Magog"
"STATIC","Static"
"CAPTAIN AMERICA","Captain America"
"EVILHAWK/DARGIN BOKK","Evilhawk"
"MAN-THING/THEODORE T","Man-Thing"
"VANISHER","Vanisher"
"SANDMAN/WILLIAM BAKE","Sandman"
"SWARM/FRITZ VON MEYE","Swarm"
"STORM/ORORO MUNROE S","Storm"
"RED SKULL II/ALBERT","Red Skull"
"AMAZON","Amazo"
"CHAMELEON/DMITRI SME","Chameleon"
"GREEN GOBLIN IV/PHIL","Green Goblin"
"VULTURE/ADRIAN TOOME","Vulture"
"VULTURE II/BLACKIE D","Vulture"
"INVISIBLE WOMAN/SUE","Invisible Woman"
"IMPULSE","Impulse"
"BLACK KNIGHT III/EOB","Black Knight III"
"SASQUATCH/WALTER LAN","Sasquatch"
"STEELE, SIMON/WOLFGA","Steel"
"ANTHROMORPHO","Morph"
"CHAMBERS, MR.","Chamber"
"CYCLOPS/SCOTT SUMMER","Cyclops"
"FRIGGA","Frigga"
"BLOODWRAITH/SEAN DOL","Bloodwraith"
"CENTURY","Century"
"VAGABOND/PRISCILLA L","Vagabond"
"HAVOK/ALEX SUMMERS","Havok"
"BLOB/FRED J. DUKES","Blob"
"ULTRON","Ultron"
"MEPHISTO","Mephisto"
"WAR MACHINE II/PARNE","War Machine"
"GREEN GOBLIN IV/PHIL","Green Goblin IV"
"SHE-HULK/JENNIFER WA","She-Hulk"
"MARVEL GIRL/JEAN GRE","Marvel Girl"
"HAWKEYE DOPPELGANGER","Hawkeye"
"SIF","Sif"
"GREEN GOBLIN III/BAR","Green Goblin II"
"TRICKSTER","Trickster"
"SENTRY 459","Sentry"
"SHANG-CHI","Shang-Chi"
"NAMORA/AQUARIA NAUTI","Namora"
"SPIDER-WOMAN IV/CHAR","Spider-Woman IV"
"MORLUN","Morlun"
"PROFESSOR X/CHARLES","Professor X"
"CLEA","Clea"
"SPIDER-WOMAN II/JULI","Spider-Woman II"
